id_planta,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,id_edificio,cod_dominio,id_usuario
2904,PB,A,2018-06-28 14:54:32,,2018-06-28 14:54:32,2903,2.16.840.1.113883.2.10.27,1
2905,PRIMER PISO,A,2018-06-28 14:55:20,,2018-06-28 14:55:20,2903,2.16.840.1.113883.2.10.27,1
2906,SEGUNDO PISO ,A,2018-06-28 14:55:44,,2018-06-28 14:55:44,2903,2.16.840.1.113883.2.10.27,1
2925,Planta Baja,A,2018-06-28 15:34:39,,2020-04-16 17:52:39,2924,2.16.840.1.113883.2.10.27,1
2933,Primer Piso,A,2018-06-28 16:25:05,,2020-04-17 22:13:00,2932,2.16.840.1.113883.2.10.27,1
2940,Primer piso,A,2018-07-30 13:05:00,,2018-07-30 13:05:00,2939,2.16.840.1.113883.2.10.27,1
2941,Basamento,A,2018-07-30 13:05:26,,2018-07-30 13:05:26,2939,2.16.840.1.113883.2.10.27,1
2972,Subsuelo,A,2018-08-03 16:08:18,,2020-04-16 18:30:54,2971,2.16.840.1.113883.2.10.27,1
2973,Planta Baja,A,2018-08-03 16:08:51,,2020-04-16 18:35:15,2971,2.16.840.1.113883.2.10.27,1
2974,Primer Piso,A,2018-08-03 16:09:52,,2020-04-16 18:30:23,2971,2.16.840.1.113883.2.10.27,1
2975,Segundo Piso,A,2018-08-03 16:10:22,,2020-04-16 18:31:26,2971,2.16.840.1.113883.2.10.27,1
2976,Tercer Piso,A,2018-08-03 16:10:59,,2020-04-16 18:32:00,2971,2.16.840.1.113883.2.10.27,1
2977,Cuarto Piso,A,2018-08-03 16:11:41,,2020-04-16 18:32:50,2971,2.16.840.1.113883.2.10.27,1
2979,Quinto Piso,A,2018-08-03 16:13:30,,2020-04-16 18:37:13,2971,2.16.840.1.113883.2.10.27,1
2980,Sexto Piso,A,2018-08-03 16:13:59,,2020-04-16 18:37:46,2971,2.16.840.1.113883.2.10.27,1
2981,Séptimo Piso,A,2018-08-03 16:14:25,,2020-04-16 18:38:17,2971,2.16.840.1.113883.2.10.27,1
3076,Planta Baja,A,2018-10-30 15:17:16,,2020-04-15 13:03:33,3075,2.16.840.1.113883.2.10.27,1
4355,Primer Piso,A,2020-03-27 16:18:29,,2020-04-16 19:14:02,3075,2.16.840.1.113883.2.10.27,1
3098,Planta baja,A,2018-10-31 15:50:45,,2018-10-31 15:50:45,3097,2.16.840.1.113883.2.10.27,1
3099,Primer piso,A,2018-10-31 15:51:31,,2018-10-31 15:51:31,3097,2.16.840.1.113883.2.10.27,1
3100,Segundo piso,A,2018-10-31 15:52:09,,2018-10-31 15:52:09,3097,2.16.840.1.113883.2.10.27,1
3117,Planta baja,A,2019-01-30 09:37:15,,2019-01-30 09:37:15,3116,2.16.840.1.113883.2.10.27,1
3118,Primer piso,A,2019-01-30 09:37:52,,2019-01-30 09:37:52,3116,2.16.840.1.113883.2.10.27,1
3142,Planta baja,A,2019-02-08 11:54:47,,2019-02-08 11:54:47,3141,2.16.840.1.113883.2.10.27,1
3161,Planta baja,A,2019-04-03 11:12:37,,2019-04-03 11:12:37,3160,2.16.840.1.113883.2.10.27,1
3162,Primer piso,A,2019-04-03 11:14:03,,2019-10-18 12:26:37,3160,2.16.840.1.113883.2.10.27,1
3231,PB,A,2019-10-11 15:51:36,,2019-10-11 15:51:36,3230,2.16.840.1.113883.2.10.27,1
3240,Subsuelo,A,2019-10-11 16:45:15,,2019-10-11 16:45:15,3230,2.16.840.1.113883.2.10.27,1
3254,PB,A,2019-10-11 17:05:55,,2019-10-11 17:05:55,3253,2.16.840.1.113883.2.10.27,1
3259,Primer Piso,A,2019-10-11 17:14:05,,2019-10-11 17:14:05,3253,2.16.840.1.113883.2.10.27,1
3266,Segundo PIso,A,2019-10-11 17:29:19,,2019-10-11 17:29:19,3253,2.16.840.1.113883.2.10.27,1
3271,Tercer Piso,A,2019-10-15 14:50:58,,2019-10-15 14:50:58,3253,2.16.840.1.113883.2.10.27,1
3296,PB,A,2019-10-15 15:28:43,,2019-10-15 15:28:43,3295,2.16.840.1.113883.2.10.27,1
3300,Segundo Piso,A,2019-10-15 15:40:52,,2019-10-15 15:40:52,3295,2.16.840.1.113883.2.10.27,1
3303,Tercer Piso,A,2019-10-15 15:43:49,,2019-10-15 15:43:49,3295,2.16.840.1.113883.2.10.27,1
3306,PB,A,2019-10-15 15:47:41,,2019-10-15 15:47:41,3305,2.16.840.1.113883.2.10.27,1
3317,Subsuelo,A,2019-10-15 16:12:25,,2019-10-15 16:12:25,3305,2.16.840.1.113883.2.10.27,1
3323,Planta Baja,A,2019-10-15 16:43:52,,2019-10-15 16:43:52,3322,2.16.840.1.113883.2.10.27,1
3325,Primer Piso,A,2019-10-15 16:46:15,,2019-10-15 16:46:15,3322,2.16.840.1.113883.2.10.27,1
3340,Segundo Piso,A,2019-10-15 17:42:01,,2019-10-15 17:42:01,3322,2.16.840.1.113883.2.10.27,1
3364,Subsuelo,A,2019-10-16 14:31:29,,2019-10-16 14:31:29,3363,2.16.840.1.113883.2.10.27,1
3371,Primer Piso,A,2019-10-16 14:37:39,,2019-10-16 14:37:39,3370,2.16.840.1.113883.2.10.27,1
3381,Segundo Piso,A,2019-10-16 15:26:26,,2019-10-16 15:26:26,3370,2.16.840.1.113883.2.10.27,1
3389,Planta Baja,A,2019-10-17 12:34:57,,2019-10-17 12:34:57,3370,2.16.840.1.113883.2.10.27,1
3392,Planta Baja,A,2019-10-17 12:38:12,,2019-10-17 12:38:12,3391,2.16.840.1.113883.2.10.27,1
3394,Primer Piso,A,2019-10-17 12:39:28,,2019-10-17 12:39:28,3391,2.16.840.1.113883.2.10.27,1
3396,Subsuelo,A,2019-10-17 12:42:18,,2019-10-17 12:42:18,3391,2.16.840.1.113883.2.10.27,1
3399,Planta Baja,A,2019-10-17 12:43:39,,2019-10-17 12:43:39,3398,2.16.840.1.113883.2.10.27,1
3417,Planta Baja,A,2019-11-21 15:23:52,,2020-04-17 23:48:27,3416,2.16.840.1.113883.2.10.27,1
3482,Primer Piso,A,2019-11-21 17:28:45,,2020-04-18 00:00:04,3416,2.16.840.1.113883.2.10.27,1
4068,Segundo Piso,A,2019-12-04 15:44:23,,2020-05-01 21:29:32,3416,2.16.840.1.113883.2.10.27,1
3636,Planta Baja,A,2019-11-22 17:08:26,,2020-05-01 21:30:50,3635,2.16.840.1.113883.2.10.27,1
3653,Planta Baja,A,2019-11-22 17:32:36,,2020-04-17 23:52:03,3652,2.16.840.1.113883.2.10.27,1
3700,Primer Piso,A,2019-11-25 13:00:18,,2020-04-17 23:57:43,3652,2.16.840.1.113883.2.10.27,1
3705,Planta Baja,A,2019-11-25 13:04:50,,2020-05-01 21:30:18,3704,2.16.840.1.113883.2.10.27,1
3730,Primer Piso,A,2019-11-25 13:34:06,,2019-11-25 13:34:06,3704,2.16.840.1.113883.2.10.27,1
3750,Planta Baja,A,2019-11-25 14:19:43,,2020-05-01 21:30:08,3749,2.16.840.1.113883.2.10.27,1
3755,Planta Baja,A,2019-11-25 14:33:24,,2020-05-01 21:29:55,3754,2.16.840.1.113883.2.10.27,1
3783,Primer Piso,A,2019-11-25 15:01:17,,2020-04-16 18:04:49,3754,2.16.840.1.113883.2.10.27,1
4058,Planta Baja,A,2019-12-04 15:27:47,,2020-05-01 21:29:26,4057,2.16.840.1.113883.2.10.27,1
4153,PB,A,2019-12-17 12:16:54,,2019-12-17 12:16:54,4152,2.16.840.1.113883.2.10.27,1
4357,Primer Piso,A,2020-03-27 16:25:39,,2020-04-16 19:01:34,4356,2.16.840.1.113883.2.10.27,1
4358,Segundo Piso,A,2020-03-27 16:26:12,,2020-04-16 19:02:04,4356,2.16.840.1.113883.2.10.27,1
4359,Tercer Piso,A,2020-03-27 16:26:37,,2020-04-16 19:03:15,4356,2.16.840.1.113883.2.10.27,1
4360,Cuarto Piso,A,2020-03-27 16:27:05,,2020-04-16 19:03:38,4356,2.16.840.1.113883.2.10.27,1
4361,Quinto Piso,A,2020-03-27 16:27:46,,2020-04-16 19:03:50,4356,2.16.840.1.113883.2.10.27,1
4362,Subsuelo,A,2020-03-27 16:28:19,,2020-04-16 19:04:15,4356,2.16.840.1.113883.2.10.27,1
11467,Septimo piso,A,2020-05-08 14:05:32,,2020-05-08 14:05:32,4356,2.16.840.1.113883.2.10.27,1
4364,Planta Baja,A,2020-03-27 16:32:13,,2020-04-16 19:04:59,4363,2.16.840.1.113883.2.10.27,1
4368,Planta Baja,A,2020-03-28 13:33:00,,2020-04-16 19:14:56,4367,2.16.840.1.113883.2.10.27,1
4397,Primer Piso,A,2020-03-28 23:03:07,,2020-03-28 23:03:07,4369,2.16.840.1.113883.2.10.27,1
4398,Planta Baja,A,2020-03-28 23:04:48,,2020-03-28 23:04:48,4369,2.16.840.1.113883.2.10.27,1
4399,Primer Piso,A,2020-03-28 23:05:55,,2020-03-28 23:05:55,4370,2.16.840.1.113883.2.10.27,1
4400,Primer Piso,A,2020-03-28 23:06:41,,2020-03-28 23:06:41,4371,2.16.840.1.113883.2.10.27,1
